Quantiles,pre,post,1 mo,6 mo,12 mo,total,IVH,PBI,wavelength (nm),distance (cm)
Max / Min,155.268,134.301,310.439,447.951,209.25,575.986,249.169,646.187,814,2_cm
99% / 1%,39.399,56.804,59.04,74.825,77.479,86.167,70.287,72.445,814,2_cm
95% / 5%,14.212,19.181,21.119,16.684,19.252,24.648,27.117,12.847,814,2_cm
Max / Min,168.012,135.278,320.229,490.315,216.298,601.596,101.788,604.301,827,2_cm
99% / 1%,38.391,73.703,62.883,76.507,80.708,99.705,49.018,84.731,827,2_cm
95% / 5%,14.759,22.253,21.97,16.945,18.659,25.134,18.048,12.517,827,2_cm
Max / Min,579.931,2459.682,1779.155,6338.685,1938.525,13626.186,1333.266,2058.712,673,2.5_cm
99% / 1%,118.992,554.049,264.661,357.127,528.744,819.991,143.703,68.835,673,2.5_cm
95% / 5%,31.029,60.83,58.656,40.305,70.635,84.752,56.261,12.498,673,2.5_cm
Max / Min,341.29,1140.411,1010.28,2908.222,1148.231,5241.531,643.467,1016.326,686,2.5_cm
99% / 1%,85.285,302.387,182.616,239.847,373.705,486.58,147.878,87.136,686,2.5_cm
95% / 5%,25.664,43.814,46.207,30.172,46.498,63.409,57.832,15.766,686,2.5_cm
Max / Min,215.026,574.564,555.112,1478.051,657.276,2548.409,387.964,607.63,701,2.5_cm
99% / 1%,60.465,169.19,103.907,91.164,179.731,230.172,115.79,82.798,701,2.5_cm
95% / 5%,21.279,31.478,33.653,21.595,34.334,44.288,48.094,14.988,701,2.5_cm
Max / Min,161.337,484.866,407.881,854.114,361.602,1290.972,260.507,498.435,724,2.5_cm
99% / 1%,52.023,114.804,89.854,94.291,126.581,153.572,83.602,71.968,724,2.5_cm
95% / 5%,20.444,26.72,31.501,19.924,27.26,35.888,36.292,11.443,724,2.5_cm
Max / Min,211.575,323.068,487.53,1526.04,376.286,1846.821,369.967,735.858,754,2.5_cm
99% / 1%,41.223,130.929,98.238,130.098,126.76,163.508,83.651,62.475,754,2.5_cm
95% / 5%,16.603,29.506,29.06,22.641,28.127,34.001,37.513,11.163,754,2.5_cm
Max / Min,125.676,180.684,370.466,612.845,247.291,696.385,251.801,365.319,784,2.5_cm
99% / 1%,35.702,81.68,65.725,88.419,94.072,108.833,66.022,66.982,784,2.5_cm
95% / 5%,15.044,22.59,22.311,17.908,20.938,25.874,24.62,11.736,784,2.5_cm
Max / Min,155.268,134.301,310.439,447.951,209.25,575.986,249.169,646.187,814,2.5_cm
99% / 1%,39.399,56.804,59.04,74.825,77.479,86.167,70.287,72.445,814,2.5_cm
95% / 5%,14.212,19.181,21.119,16.684,19.252,24.648,27.117,12.847,814,2.5_cm
Max / Min,168.012,135.278,320.229,490.315,216.298,601.596,101.788,604.301,827,2.5_cm
99% / 1%,38.391,73.703,62.883,76.507,80.708,99.705,49.018,84.731,827,2.5_cm
95% / 5%,14.759,22.253,21.97,16.945,18.659,25.134,18.048,12.517,827,2.5_cm
Max / Min,579.931,2459.682,1779.155,6338.685,1938.525,13626.186,1333.266,2058.712,673,3_cm
99% / 1%,118.992,554.049,264.661,357.127,528.744,819.991,143.703,68.835,673,3_cm
95% / 5%,31.029,60.83,58.656,40.305,70.635,84.752,56.261,12.498,673,3_cm
Max / Min,341.29,1140.411,1010.28,2908.222,1148.231,5241.531,643.467,1016.326,686,3_cm
99% / 1%,85.285,302.387,182.616,239.847,373.705,486.58,147.878,87.136,686,3_cm
95% / 5%,25.664,43.814,46.207,30.172,46.498,63.409,57.832,15.766,686,3_cm
Max / Min,215.026,574.564,555.112,1478.051,657.276,2548.409,387.964,607.63,701,3_cm
99% / 1%,60.465,169.19,103.907,91.164,179.731,230.172,115.79,82.798,701,3_cm
95% / 5%,21.279,31.478,33.653,21.595,34.334,44.288,48.094,14.988,701,3_cm
Max / Min,161.337,484.866,407.881,854.114,361.602,1290.972,260.507,498.435,724,3_cm
99% / 1%,52.023,114.804,89.854,94.291,126.581,153.572,83.602,71.968,724,3_cm
95% / 5%,20.444,26.72,31.501,19.924,27.26,35.888,36.292,11.443,724,3_cm
Max / Min,211.575,323.068,487.53,1526.04,376.286,1846.821,369.967,735.858,754,3_cm
99% / 1%,41.223,130.929,98.238,130.098,126.76,163.508,83.651,62.475,754,3_cm
95% / 5%,16.603,29.506,29.06,22.641,28.127,34.001,37.513,11.163,754,3_cm
Max / Min,125.676,180.684,370.466,612.845,247.291,696.385,251.801,365.319,784,3_cm
99% / 1%,35.702,81.68,65.725,88.419,94.072,108.833,66.022,66.982,784,3_cm
95% / 5%,15.044,22.59,22.311,17.908,20.938,25.874,24.62,11.736,784,3_cm
Max / Min,155.268,134.301,310.439,447.951,209.25,575.986,249.169,646.187,814,3_cm
99% / 1%,39.399,56.804,59.04,74.825,77.479,86.167,70.287,72.445,814,3_cm
95% / 5%,14.212,19.181,21.119,16.684,19.252,24.648,27.117,12.847,814,3_cm
Max / Min,168.012,135.278,320.229,490.315,216.298,601.596,101.788,604.301,827,3_cm
99% / 1%,38.391,73.703,62.883,76.507,80.708,99.705,49.018,84.731,827,3_cm
95% / 5%,14.759,22.253,21.97,16.945,18.659,25.134,18.048,12.517,827,3_cm
